filename,dimensions,format
people\human\c0201\obj\hair\h0006\texture\c0201h0006_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0006\texture\c0201h0006_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0007\texture\c0201h0007_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0007\texture\c0201h0007_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0007\texture\c0201h0007_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0008\texture\c0201h0008_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0008\texture\c0201h0008_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0008\texture\c0201h0008_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0009\texture\c0201h0009_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0009\texture\c0201h0009_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0009\texture\c0201h0009_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0010\texture\c0201h0010_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0010\texture\c0201h0010_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0010\texture\c0201h0010_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0011\texture\c0201h0011_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0011\texture\c0201h0011_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0011\texture\c0201h0011_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0012\texture\c0201h0012_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0012\texture\c0201h0012_acc_norm.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0012\texture\c0201h0012_acc_spec.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0013\texture\c0201h0013_acc_base.dds,64x128,BC1_UNORM
people\human\c0201\obj\hair\h0013\texture\c0201h0013_acc_norm.dds,64x128,BC1_UNORM
people\human\c0201\obj\hair\h0013\texture\c0201h0013_acc_spec.dds,64x128,BC1_UNORM
people\human\c0201\obj\hair\h0014\texture\c0201h0014_acc_base.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0014\texture\c0201h0014_acc_id.dds,64x64,BC5_UNORM
people\human\c0201\obj\hair\h0014\texture\c0201h0014_acc_norm.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0014\texture\c0201h0014_acc_spec.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0015\texture\c0201h0015_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0015\texture\c0201h0015_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0015\texture\c0201h0015_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0051\texture\c0201h0051_acc_base.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0051\texture\c0201h0051_acc_norm.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0051\texture\c0201h0051_acc_spec.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0052\texture\c0201h0052_acc_base.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0052\texture\c0201h0052_acc_norm.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0052\texture\c0201h0052_acc_spec.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0053\texture\c0201h0053_acc_base.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0053\texture\c0201h0053_acc_norm.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0053\texture\c0201h0053_acc_spec.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0054\texture\c0201h0054_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0054\texture\c0201h0054_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0054\texture\c0201h0054_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0061\texture\c0201h0061_acc_base.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0061\texture\c0201h0061_acc_id.dds,64x64,BC5_UNORM
people\human\c0201\obj\hair\h0061\texture\c0201h0061_acc_norm.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0061\texture\c0201h0061_acc_spec.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0101\texture\c0201h0101_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0101\texture\c0201h0101_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0101\texture\c0201h0101_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0102\texture\c0201h0102_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0102\texture\c0201h0102_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0102\texture\c0201h0102_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0103\texture\c0201h0103_acc_base.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0103\texture\c0201h0103_acc_id.dds,64x64,BC5_UNORM
people\human\c0201\obj\hair\h0103\texture\c0201h0103_acc_norm.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0103\texture\c0201h0103_acc_spec.dds,64x64,BC1_UNORM
people\human\c0201\obj\hair\h0104\texture\c0201h0104_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0104\texture\c0201h0104_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0104\texture\c0201h0104_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0105\texture\c0201h0105_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0105\texture\c0201h0105_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0105\texture\c0201h0105_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0106\texture\c0201h0106_acc_base.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0106\texture\c0201h0106_acc_id.dds,128x64,BC5_UNORM
people\human\c0201\obj\hair\h0106\texture\c0201h0106_acc_norm.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0106\texture\c0201h0106_acc_spec.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0108\texture\c0201h0108_acc_base.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0108\texture\c0201h0108_acc_norm.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0108\texture\c0201h0108_acc_spec.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0112\texture\c0201h0112_acc_base.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0112\texture\c0201h0112_acc_id.dds,128x64,BC5_UNORM
people\human\c0201\obj\hair\h0112\texture\c0201h0112_acc_norm.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0112\texture\c0201h0112_acc_spec.dds,128x64,BC1_UNORM
people\human\c0201\obj\hair\h0113\texture\c0201h0113_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0113\texture\c0201h0113_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0113\texture\c0201h0113_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0118\texture\c0201h0118_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0118\texture\c0201h0118_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0118\texture\c0201h0118_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0119\texture\c0201h0119_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0119\texture\c0201h0119_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0119\texture\c0201h0119_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0120\texture\c0201h0120_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0120\texture\c0201h0120_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0120\texture\c0201h0120_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0121\texture\c0201h0121_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0121\texture\c0201h0121_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0121\texture\c0201h0121_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0122\texture\c0201h0122_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0122\texture\c0201h0122_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0122\texture\c0201h0122_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0123\texture\c0201h0123_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0123\texture\c0201h0123_acc_norm.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0123\texture\c0201h0123_acc_spec.dds,64x32,BC2_UNORM
people\human\c0201\obj\hair\h0124\texture\c0201h0124_acc_base.dds,64x32,BC1_UNORM
people\human\c0201\obj\hair\h0124\texture\c0201h0124_acc_norm.dds,64x32,BC2_UNORM
